Date,Latitude,Longitude,value
2050,48.75,7.75,88.60317838
2050,49,7.75,88.60317838
2050,49.25,7.75,107.5441695
2050,49.5,7.75,110.5691695
2050,49.75,7.75,228.7441695
2050,50,7.75,199.9241695
2050,50.25,7.75,88.60317838
2050,50.5,7.75,156.2441695
2050,50.75,7.75,145.5441695
2050,51,7.75,120.6541695
2050,51.25,7.75,116.9941695
2050,51.5,7.75,128.0161695
2050,51.75,7.75,134.5941695
2050,52,7.75,151.5541695
2050,52.25,7.75,153.7941695
2050,52.5,7.75,163.7431695
2050,52.75,7.75,129.8941695
2050,53,7.75,187.5941695
2050,53.25,7.75,132.5941695
2050,53.5,7.75,299.5191695
2050,53.75,7.75,121.7941695
2050,54,7.75,142.7884615
2050,54.25,7.75,218.5794527
2050,54.5,7.75,1237.379453
2050,54.75,7.75,142.7884615
2050,55,7.75,722.5794527
2050,55.25,7.75,0
2050,55.5,7.75,142.7884615
2050,55.75,7.75,142.7884615
2050,56,7.75,142.7884615
2050,56.25,7.75,142.7884615
2050,56.5,7.75,142.7884615
2050,56.75,7.75,150.1794527
2050,57,7.75,142.7884615
2050,47,8,0
2050,47.25,8,0
2050,47.5,8,88.60317838
2050,47.75,8,121.2953695
2050,48,8,104.5591695
2050,48.25,8,151.0591695
2050,48.5,8,88.60317838
2050,48.75,8,88.60317838
2050,49,8,88.60317838
2050,49.25,8,88.60317838
2050,49.5,8,134.4191695
2050,49.75,8,168.7191695
2050,50,8,94.79466951
2050,50.25,8,164.0491695
2050,50.5,8,147.0841695
2050,50.75,8,140.6041695
2050,51,8,108.1441695
2050,51.25,8,106.3441695
2050,51.5,8,156.1791695
2050,51.75,8,133.4941695
2050,52,8,159.2441695
2050,52.25,8,106.2941695
2050,52.5,8,354.4241695
2050,52.75,8,160.5541695
2050,53,8,227.4661695
2050,53.25,8,123.5941695
2050,53.5,8,241.4337695
2050,53.75,8,113.4941695
2050,54,8,142.7884615
2050,54.25,8,142.7884615
2050,54.5,8,142.7884615
2050,54.75,8,142.7884615
2050,55,8,142.7884615
2050,55.25,8,0
2050,55.5,8,142.7884615
2050,55.75,8,142.7884615
2050,56,8,142.7884615
2050,56.25,8,142.7884615
2050,56.5,8,142.7884615
