Latitude,Longitude,Manufacturer,Turbine,TurbineHubheight,Totalpower,CommisioningDate,durchmesser,turbinen id,Nennleistung
54.25659695,9.11666149,Vestas Deutschland GmbH,V112/3300,119,3300,2014,112,V112/3300,3300
49.7386838,11.64811213,Nordex SE,N117/2400,140.6,2400,2014,117,N117/2400,2400
50.54387204,6.438476191,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
54.58645359,8.970809705,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
54.58899764,8.969601405,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
54.58376067,8.971306479,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
54.57918765,8.969469185,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
51.55601125,8.754873127,ENERCON GmbH,E82/2000,138.38,2300,2014,82,E82/2000,2000
54.57712544,8.972285144,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
54.59050741,8.971982624,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
50.08509421,12.07870554,VENSYS Energy AG,Vensys 112,140,2500,2014,112.5,Standard,3300
52.34856077,14.37615976,ENERCON GmbH,E82/2000,138,2300,2014,82,E82/2000,2000
52.34653081,14.369685,ENERCON GmbH,E82/2000,138,2300,2014,82,E82/2000,2000
52.96681156,9.73461862,ENERCON GmbH,E92/2350,138,2350,2014,92,E92/2350,2350
51.18358988,14.71308152,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
51.98189584,10.85998788,ENERCON GmbH,E82/2000,98.38,2300,2014,82,E82/2000,2000
51.09496404,11.80020842,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
50.96702914,12.16852625,Senvion Deutschland GmbH,3.2M122,143,3170,2014,114,3.2M122,3200
51.03184652,6.532509724,Senvion Deutschland GmbH,3.2M114,143,3170,2014,114,3.2M114,3200
50.30103745,8.352160874,Nordex SE,N117/2400,140.6,2400,2014,117,N117/2400,2400
54.8660641,9.159601632,Senvion Deutschland GmbH,3.2M122,93,3170,2014,114,3.2M122,3200
50.4446092,9.415000955,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
52.51224629,9.492116655,Vestas Deutschland GmbH,V112/3000,84,3075,2014,112,V112/3000,3000
54.86259367,9.168355571,Senvion Deutschland GmbH,3.2M122,93,3170,2014,114,3.2M122,3200
49.571284,7.982115122,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
49.57395534,7.979736269,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
54.17985779,9.045903989,Vestas Deutschland GmbH,V112/3000,94,3300,2014,112,V112/3000,3000
54.85507908,9.19838364,Senvion Deutschland GmbH,3.2M114,123,3170,2014,114,3.2M114,3200
54.18575426,9.044347479,Vestas Deutschland GmbH,V112/3000,94,3300,2014,112,V112/3000,3000
54.8652392,9.165096078,Senvion Deutschland GmbH,3.2M122,93,3170,2014,114,3.2M122,3200
48.33259398,11.17262757,Nordex SE,N117/2400,141,2400,2014,117,N117/2400,2400
50.80720877,6.535952067,Senvion Deutschland GmbH,MM82,80,2050,2014,82,MM82,2000
54.85792374,9.196762104,Senvion Deutschland GmbH,3.2M114,123,3170,2014,114,3.2M114,3200
49.57840551,7.972425878,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
54.18287762,9.045907334,Vestas Deutschland GmbH,V112/3000,94,3300,2014,112,V112/3000,3000
49.57679484,7.976771258,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
49.57135738,7.988166505,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
49.7040889,7.830042153,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
54.19900694,9.394996213,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
51.72736258,8.881921826,ENERCON GmbH,E70/2000,113.5,2300,2014,71,E70/2000,2050
54.20468413,9.406763341,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
49.70364887,7.8242416,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
52.21951904,7.578019511,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
54.20204107,9.409725068,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
52.22043208,7.556353423,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
54.20828283,9.40314974,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
54.20549659,9.401143008,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
52.22239101,7.575365701,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
51.38161832,10.71581294,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
51.37984154,10.73454572,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
51.38146897,10.72206557,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
51.37986892,10.72693639,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
51.37941776,10.716923,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
50.04136977,7.377663881,ENERCON GmbH,E101/3000,135,3050,2014,101,E101/3000,3000
53.02792604,7.921262222,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
52.97132253,9.734979153,ENERCON GmbH,E92/2350,108,2350,2014,92,E92/2350,2350
50.34887948,11.78172391,ENERCON GmbH,E82/2000,98,2300,2014,82,E82/2000,2000
50.36022297,11.77127254,ENERCON GmbH,E70/2000,113,2300,2014,71,E70/2000,2050
53.76007157,10.56467904,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
54.79747766,8.730398389,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,90,3600,2014,120,SWT-3.6-120,3600
53.76122467,10.55754621,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
51.98071104,14.09952951,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
53.75957177,10.57154412,Vestas Deutschland GmbH,V112/3000,119,3075,2014,112,V112/3000,3000
51.02894835,6.534183623,Senvion Deutschland GmbH,3.2M114,143,3170,2014,114,3.2M114,3200
53.75714931,10.55229853,Vestas Deutschland GmbH,V112/3000,119,3075,2014,112,V112/3000,3000
53.86484177,9.391216524,Senvion Deutschland GmbH,3.2M122,93,3170,2014,114,3.2M122,3200
53.75747066,10.55939444,Vestas Deutschland GmbH,V112/3000,119,3075,2014,112,V112/3000,3000
50.04609455,11.288406,GE Wind Energy GmbH,2.5-120,139,2500,2014,120,2.5-120,2530
53.6017885,7.904451558,ENERCON GmbH,E70/2000,64,2300,2014,70,E70/2000,2050
52.97361774,9.73285805,ENERCON GmbH,E92/2350,108.4,2350,2014,92,E92/2350,2350
54.25897289,9.120582729,Vestas Deutschland GmbH,V112/3300,119,3300,2014,112,V112/3300,3300
50.04872831,11.301022,GE Wind Energy GmbH,2.5-103,139,2500,2014,120,2.5-103,2500
54.20288763,9.30367791,Vestas Deutschland GmbH,V112/3300,94,3300,2014,112,V112/3300,3300
52.97658322,9.738669638,ENERCON GmbH,E92/2350,108.4,2350,2014,92,E92/2350,2350
53.90735375,9.294299791,Senvion Deutschland GmbH,3.2M122,93,3200,2014,114,3.2M122,3200
54.20755433,9.295601469,Vestas Deutschland GmbH,V112/3300,94,3300,2014,112,V112/3300,3300
54.09334034,9.365427701,ENERCON GmbH,E101/3000,135,3050,2014,101,E101/3000,3000
54.20564817,9.299328719,Vestas Deutschland GmbH,V112/3300,94,3300,2014,112,V112/3300,3300
53.90690039,9.299532888,Senvion Deutschland GmbH,3.2M122,93,3200,2014,114,3.2M122,3200
52.46297367,9.126346649,ENERCON GmbH,E82/2000,138.38,2300,2014,82,E82/2000,2000
53.13446762,12.12165953,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
51.97864857,14.1189704,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
50.04925254,11.288825,GE Wind Energy GmbH,2.5-120,139,2500,2014,120,2.5-120,2530
53.13688303,12.11518763,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
51.98370452,14.10292316,Vestas Deutschland GmbH,V112/3300,140,3300,2014,112,V112/3300,3300
