Date,Latitude,Longitude,value
2016,53.25,12.25,7.7
2016,53.25,12.5,7.5
2016,53.25,12.75,7.5
2016,53.25,13,6.3
2016,53.25,13.25,5.7
2016,53.25,13.5,6
2016,53.25,13.75,7.6
2016,53.25,14,8.2
2016,53.25,14.25,7.7
2016,53.25,14.5,6.8
2016,53.25,14.75,6.9
2016,53.25,15,6.6
2016,53.25,15.25,6.3
2016,53.25,15.5,6.4
2016,53,5.5,9.3
2016,53,5.75,9.7
2016,53,6,10.5
2016,53,6.25,9.8
2016,53,6.5,8.9
2016,53,6.75,8.7
2016,53,7,8.4
2016,53,7.25,8.6
2016,53,7.5,8.6
2016,53,7.75,8.6
2016,53,8,8.6
2016,53,8.25,8.4
2016,53,8.5,8.5
2016,53,8.75,8.2
2016,53,9,8
2016,53,9.25,8.3
2016,53,9.5,8.5
2016,53,9.75,8.7
2016,53,10,8.3
2016,53,10.25,8.2
2016,53,10.5,7.7
2016,53,10.75,7.3
2016,53,11,7.1
2016,53,11.25,6.2
2016,53,11.5,6.6
2016,53,11.75,6.8
2016,53,12,7.1
2016,53,12.25,7.4
2016,53,12.5,6.7
2016,53,12.75,6.4
2016,53,13,6.4
2016,53,13.25,6.6
2016,53,13.5,6.4
2016,53,13.75,6.8
2016,53,14,7.4
2016,53,14.25,7
2016,53,14.5,6.2
2016,53,14.75,6.5
2016,53,15,5.9
2016,53,15.25,6.5
2016,53,15.5,6.9
2016,52.75,5.5,10
2016,52.75,5.75,8.7
2016,52.75,6,9.1
2016,52.75,6.25,9
2016,52.75,6.5,8.7
2016,52.75,6.75,8.6
2016,52.75,7,8.4
2016,52.75,7.25,8.2
2016,52.75,7.5,8.2
2016,52.75,7.75,8.2
2016,52.75,8,8.1
2016,52.75,8.25,8
2016,52.75,8.5,8
2016,52.75,8.75,8.3
2016,52.75,9,8.8
2016,52.75,9.25,8.6
2016,52.75,9.5,8.4
2016,52.75,9.75,7.5
2016,52.75,10,7
2016,52.75,10.25,7
2016,52.75,10.5,7.5
2016,52.75,10.75,7.7
2016,52.75,11,7.8
2016,52.75,11.25,7.1
2016,52.75,11.5,7.4
2016,52.75,11.75,7.3
2016,52.75,12,7.6
2016,52.75,12.25,7.2
2016,52.75,12.5,6.7
2016,52.75,12.75,6.6
2016,52.75,13,6.8
2016,52.75,13.25,6.4
2016,52.75,13.5,6.6
2016,52.75,13.75,6.5
2016,52.75,14,7.6
2016,52.75,14.25,6.1
2016,52.75,14.5,6.7
2016,52.75,14.75,6.6
2016,52.75,15,6.3
2016,52.75,15.25,6.4
2016,52.75,15.5,7
2016,52.5,5.5,8.2
2016,52.5,5.75,8
2016,52.5,6,8.3
2016,52.5,6.25,8.7
2016,52.5,6.5,8.9
2016,52.5,6.75,8.7
2016,52.5,7,8.5
2016,52.5,7.25,7.9
2016,52.5,7.5,8
2016,52.5,7.75,8.2
2016,52.5,8,8.1
2016,52.5,8.25,8.1
2016,52.5,8.5,8.3
2016,52.5,8.75,8.5
2016,52.5,9,8.5
2016,52.5,9.25,8.5
2016,52.5,9.5,8.3
2016,52.5,9.75,8.1
2016,52.5,10,7.6
2016,52.5,10.25,7.6
2016,52.5,10.5,7.9
2016,52.5,10.75,7.9
2016,52.5,11,7.1
2016,52.5,11.25,6.8
2016,52.5,11.5,7.2
2016,52.5,11.75,7.8
2016,52.5,12,6.9
2016,52.5,12.25,6.8
2016,52.5,12.5,6.8
2016,52.5,12.75,7.1
2016,52.5,13,6.7
2016,52.5,13.25,5.9
2016,52.5,13.5,5.1
2016,52.5,13.75,5.7
2016,52.5,14,6.5
2016,52.5,14.25,7.6
2016,52.5,14.5,7.4
2016,52.5,14.75,6.9
2016,52.5,15,7
2016,52.5,15.25,7.1
2016,52.5,15.5,7.1
2016,52.25,5.5,8.1
2016,52.25,5.75,8.4
2016,52.25,6,7.5
2016,52.25,6.25,8.4
2016,52.25,6.5,8.5
2016,52.25,6.75,8.4
2016,52.25,7,8.4
2016,52.25,7.25,8.2
2016,52.25,7.5,7.4
2016,52.25,7.75,7.6
2016,52.25,8,7.6
2016,52.25,8.25,7.3
2016,52.25,8.5,7.4
2016,52.25,8.75,7.6
2016,52.25,9,6.8
2016,52.25,9.25,7.2
2016,52.25,9.5,7.1
2016,52.25,9.75,7.3
2016,52.25,10,7.7
2016,52.25,10.25,7.4
2016,52.25,10.5,7
2016,52.25,10.75,7.9
2016,52.25,11,7.4
2016,52.25,11.25,7.8
2016,52.25,11.5,7.4
2016,52.25,11.75,6.8
2016,52.25,12,6.6
2016,52.25,12.25,6.7
2016,52.25,12.5,7.6
2016,52.25,12.75,7.3
2016,52.25,13,7.2
2016,52.25,13.25,6.5
2016,52.25,13.5,6.4
2016,52.25,13.75,6.8
2016,52.25,14,6.6
2016,52.25,14.25,7.3
2016,52.25,14.5,6.9
2016,52.25,14.75,6.3
2016,52.25,15,6.4
2016,52.25,15.25,6.3
2016,52.25,15.5,6.7
2016,52,5.5,8.2
2016,52,5.75,7.7
2016,52,6,7.7
2016,52,6.25,8.3
2016,52,6.5,8.6
2016,52,6.75,8.6
2016,52,7,8.4
2016,52,7.25,8.9
2016,52,7.5,7.9
2016,52,7.75,7.6
2016,52,8,7.7
2016,52,8.25,7
2016,52,8.5,6.2
2016,52,8.75,7
2016,52,9,5.5
2016,52,9.25,6.1
2016,52,9.5,6.4
2016,52,9.75,5.6
2016,52,10,5.9
2016,52,10.25,6.5
2016,52,10.5,7
2016,52,10.75,7.1
2016,52,11,7.4
2016,52,11.25,6.5
2016,52,11.5,7.5
2016,52,11.75,6.4
2016,52,12,5.7
2016,52,12.25,5.8
2016,52,12.5,6.8
2016,52,12.75,7.7
2016,52,13,7.2
2016,52,13.25,7
2016,52,13.5,7.5
2016,52,13.75,6.8
2016,52,14,7
2016,52,14.25,6.6
2016,52,14.5,6.6
2016,52,14.75,7
2016,52,15,6.9
2016,52,15.25,6.8
2016,52,15.5,7.2
2016,51.75,5.5,8.7
2016,51.75,5.75,8.1
2016,51.75,6,8.2
2016,51.75,6.25,8.4
2016,51.75,6.5,7.8
2016,51.75,6.75,8.3
2016,51.75,7,8
2016,51.75,7.25,8
2016,51.75,7.5,8.1
2016,51.75,7.75,7.6
2016,51.75,8,7.3
2016,51.75,8.25,7.5
2016,51.75,8.5,7.3
2016,51.75,8.75,6.3
2016,51.75,9,5.7
2016,51.75,9.25,4.7
2016,51.75,9.5,5.5
2016,51.75,9.75,4.8
2016,51.75,10,4.4
2016,51.75,10.25,4
2016,51.75,10.5,6.2
2016,51.75,10.75,5.6
2016,51.75,11,7
2016,51.75,11.25,7.9
2016,51.75,11.5,7.6
2016,51.75,11.75,6.5
2016,51.75,12,7.3
2016,51.75,12.25,7.1
2016,51.75,12.5,7.2
2016,51.75,12.75,7.5
2016,51.75,13,6.6
2016,51.75,13.25,6.3
2016,51.75,13.5,6.6
2016,51.75,13.75,7.2
2016,51.75,14,7.4
2016,51.75,14.25,6.5
2016,51.75,14.5,6.4
2016,51.75,14.75,6.7
2016,51.75,15,7.2
2016,51.75,15.25,7.3
2016,51.75,15.5,7.1
2016,51.5,5.5,7.9
2016,51.5,5.75,7.9
2016,51.5,6,8.1
2016,51.5,6.25,8.3
2016,51.5,6.5,7.7
