LAT,LON,01.01.2010,02.01.2010,03.01.2010,04.01.2010,05.01.2010,06.01.2010,07.01.2010,08.01.2010,09.01.2010,10.01.2010,11.01.2010,12.01.2010,13.01.2010,14.01.2010,15.01.2010,16.01.2010,17.01.2010,18.01.2010,19.01.2010,20.01.2010,21.01.2010,22.01.2010,23.01.2010,24.01.2010,25.01.2010,26.01.2010,27.01.2010,28.01.2010,29.01.2010,30.01.2010,31.01.2010
54.5,25,3.297547,3.392704,2.591506,4.705401,4.503541,5.302714,3.215988,2.786039,6.98594,8.626461,6.04092,2.891979,2.390054,3.047346,1.996274,3.468477,6.890305,6.101937,5.143226,5.645538,5.520468,4.149156,2.531744,1.797248,2.697152,3.679575,3.891629,8.060144,4.730472,6.905996,3.401319
54.5,25.5,3.345332,3.420161,2.774857,4.932773,4.771669,5.938429,3.581748,2.911122,7.204938,9.086489,6.426191,3.067301,2.638214,3.163939,1.937549,3.629819,7.045378,6.426348,5.406751,5.872191,5.813589,4.346923,2.652241,1.966398,3.139611,3.641604,3.988141,8.606883,5.056106,7.181437,3.564152
54.5,26,3.425486,3.518675,2.993623,5.21037,5.088894,6.603487,4.024415,3.05315,7.45223,9.568975,6.820565,3.250068,2.866404,3.279516,1.945068,3.810689,7.214801,6.79972,5.70118,6.116138,6.109443,4.548647,2.811526,2.212361,3.55713,3.656811,4.113115,9.237611,5.464466,7.521185,3.763151
54.5,26.5,3.521653,3.820117,3.273348,5.62215,5.54671,7.296389,4.517874,3.223498,7.781605,10.1141,7.234365,3.455134,3.029754,3.369731,2.01731,3.999598,7.422911,7.317076,6.077725,6.396297,6.400474,4.741935,3.00022,2.606143,3.878438,3.790253,4.318595,10.02395,6.075113,8.019572,3.984912
54.5,27,3.635217,4.130317,3.570358,6.043185,6.006833,8.000813,5.041121,3.404164,8.111536,10.66043,7.650463,3.663085,3.206044,3.469696,2.1618,4.197813,7.63167,7.835381,6.454633,6.678906,6.694311,4.944266,3.238457,3.027869,4.206077,3.94795,4.530095,10.84836,6.750064,8.540361,4.32378
54.5,27.5,3.519134,4.250165,3.625019,5.976143,5.999105,7.992313,5.185244,3.334702,7.760825,10.34583,7.467339,3.559769,3.173003,3.31264,2.224354,4.130245,7.287198,7.436201,6.273938,6.461177,6.5491,4.798943,3.240883,3.23563,4.244729,3.747294,4.425342,10.77551,6.902967,8.442471,4.416007
54.5,28,3.421622,4.384704,3.69348,5.912415,5.994257,7.989319,5.362694,3.311511,7.411307,10.03129,7.285304,3.462874,3.16028,3.184505,2.333563,4.06575,6.943337,7.039067,6.095951,6.252709,6.411223,4.675383,3.281388,3.462597,4.28975,3.570236,4.323613,10.71966,7.175033,8.356981,4.562356
54.5,28.5,3.239788,4.460736,3.757516,5.708019,5.850761,7.867656,5.424649,3.247069,6.975886,9.619038,6.986389,3.315794,3.123959,3.043099,2.372087,3.947536,6.485949,6.562327,5.825986,6.017828,6.261156,4.588093,3.298202,3.532291,4.179411,3.309392,4.199672,10.2649,7.293406,8.089811,4.668784
54.5,29,3.03392,4.530552,3.82981,5.456447,5.665656,7.708186,5.479378,3.166128,6.513463,9.174053,6.649388,3.150896,3.082603,2.900251,2.399143,3.813253,5.991064,6.061521,5.528116,5.77764,6.109781,4.520604,3.309047,3.551841,4.021279,3.044888,4.075336,9.678892,7.412138,7.76597,4.790421
54.5,29.5,2.900501,4.642156,3.956676,5.22405,5.562772,7.56874,5.584215,3.116819,6.17607,8.882158,6.455186,3.05895,3.072208,2.820083,2.443729,3.77468,5.647133,5.775013,5.351097,5.676075,6.055065,4.534323,3.33682,3.572893,3.895034,2.957444,4.08164,9.268351,7.516928,7.555067,4.997375
